job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Principal Financial Analyst,Niji Morocco,Marrakech,33500 MAD/month,Contract,10+ years,Master's Degree,"SQL, Risk Analysis, Forecasting, Financial Modeling, Budgeting, Accounting",Great opportunity for career growth as a Principal Financial Analyst.,2025-11-02,Generated
Industrial Engineer,AXA Morocco,Rabat,13600 MAD/month,Part-time,2-5 years,Master's Degree,"Project Management, Supply Chain, Process Optimization, Quality Control, Six Sigma, AutoCAD",Seeking an experienced Industrial Engineer for innovative projects.,2025-11-01,Generated
Account Manager,Stellantis Morocco,Casablanca,27500 MAD/month,Full-time,10+ years,Bachelor's Degree,"CRM, Negotiation, Problem Solving, Sales, Client Relations, Strategic Planning",Join our dynamic team as a Account Manager.,2025-11-28,Generated
Cloud Engineer,Teleperformance Morocco,El Jadida,34200 MAD/month,Contract,3-5 years,Bachelor's Degree,"Python, AWS, Linux, Azure",Join our dynamic team as a Cloud Engineer.,2025-11-01,Generated
Lab Technician,BMCI,Oujda,8400 MAD/month,Full-time,1-3 years,Diploma,"Laboratory Techniques, Quality Control, Data Analysis, Sample Preparation",Exciting opportunity for a Lab Technician in Oujda.,2025-11-12,Generated
Principal Web Developer,Wavestone Morocco,Mohammedia,28300 MAD/month,Full-time,8+ years,Master's Degree,"Responsive Design, HTML, Bootstrap, CSS",Great opportunity for career growth as a Principal Web Developer.,2025-11-14,Generated
Staff Web Developer,McKinsey Morocco,Oujda,25700 MAD/month,Full-time,8+ years,Master's Degree,"Responsive Design, HTML, WordPress, JavaScript, jQuery, Bootstrap",Join our dynamic team as a Staff Web Developer.,2025-12-21,Generated
Recruiter,CIH Bank,Marrakech,9100 MAD/month,Part-time,2-5 years,Bachelor's Degree,"ATS, Recruitment, LinkedIn, Talent Acquisition, Interviewing",Join our dynamic team as a Recruiter.,2025-11-27,Generated
Principal Civil Engineer,PwC Morocco,El Jadida,9100 MAD/month,Part-time,5-8 years,Master's Degree,"AutoCAD, Civil 3D, Cost Estimation, Site Supervision",Exciting opportunity for a Principal Civil Engineer in El Jadida.,2025-12-07,Generated
Principal Account Manager,Boeing Morocco,Fes,19900 MAD/month,Contract,10+ years,Bachelor's Degree,"Problem Solving, Client Relations, Upselling, Negotiation",Great opportunity for career growth as a Principal Account Manager.,2025-11-16,Generated
Risk Analyst,Lear Corporation,Beni Mellal,8400 MAD/month,Part-time,2-4 years,Master's Degree,"SQL, Data Analysis, Risk Management, Audit, Reporting",Great opportunity for career growth as a Risk Analyst.,2025-11-04,Generated
Technical Manager,BNP Paribas Morocco,Mohammedia,23600 MAD/month,Full-time,8+ years,Master's Degree,"Agile, Technical Strategy, Project Management, Leadership, System Architecture",We are looking for a talented Technical Manager to join our growing team.,2025-12-24,Generated
Junior Data Engineer,Fujikura Morocco,Casablanca,8700 MAD/month,Part-time,1-3 years,Bachelor's Degree,"Spark, PostgreSQL, Data Modeling, Git, Hadoop",Exciting opportunity for a Junior Data Engineer in Casablanca.,2025-11-22,Generated
Senior Backend Developer,BMCI,Kenitra,49200 MAD/month,Full-time,8+ years,Master's Degree,"Node.js, SQL, Python, Git",Exciting opportunity for a Senior Backend Developer in Kenitra.,2025-11-09,Generated
Lead Operations Manager,Stellantis Morocco,Casablanca,27300 MAD/month,Contract,8+ years,Master's Degree,"Operations Management, Strategic Planning, Process Optimization, KPI Management, Budgeting",Exciting opportunity for a Lead Operations Manager in Casablanca.,2025-12-26,Generated
Junior Data Engineer,Eaton Aerospace,Kenitra,10500 MAD/month,Part-time,0-2 years,Master's Degree,"Spark, Airflow, PostgreSQL, Python, AWS",We are looking for a talented Junior Data Engineer to join our growing team.,2025-12-30,Generated
UX/UI Designer,DHL Morocco,Tetouan,16000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"UI Design, Design Thinking, Wireframing, Adobe XD, UX Design",Join our dynamic team as a UX/UI Designer.,2025-12-19,Generated
DevOps Engineer,Concentrix Morocco,Oujda,23500 MAD/month,Full-time,2-4 years,Master's Degree,"Ansible, Terraform, Python, Docker, Jenkins",Great opportunity for career growth as a DevOps Engineer.,2025-11-11,Generated
Principal Project Manager,Roland Berger,Safi,7100 MAD/month,Internship,10+ years,Bachelor's Degree,"Communication, Scrum, Budgeting, Project Management",We are looking for a talented Principal Project Manager to join our growing team.,2025-11-08,Generated
Technical Manager,Attijariwafa Bank,Oujda,26700 MAD/month,Full-time,10+ years,Master's Degree,"Team Management, Agile, System Architecture, Leadership, Project Management",Seeking an experienced Technical Manager for innovative projects.,2025-10-31,Generated
Account Manager,SAHAM Assurance,Khouribga,13600 MAD/month,Full-time,10+ years,Bachelor's Degree,"Upselling, Problem Solving, Client Relations, Account Management, Sales, Strategic Planning",We are looking for a talented Account Manager to join our growing team.,2025-12-13,Generated
HR Manager,Shell Morocco,Kenitra,36400 MAD/month,Full-time,8+ years,Bachelor's Degree,"HR Management, Labor Law, Recruitment, Performance Management, Employee Relations",Exciting opportunity for a HR Manager in Kenitra.,2025-11-08,Generated
Senior QA Engineer,Tanger Med Port,Mohammedia,29100 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Regression Testing, Agile, Testing, JIRA, API Testing, QA Methodologies",Join our dynamic team as a Senior QA Engineer.,2025-12-06,Generated
Junior Data Engineer,Aubay Morocco,Marrakech,12700 MAD/month,Full-time,0-1 years,Master's Degree,"Data Modeling, Git, PostgreSQL, Hadoop, Python, AWS",Great opportunity for career growth as a Junior Data Engineer.,2025-12-11,Generated
Senior Scrum Master,Nokia Morocco,Safi,37500 MAD/month,Full-time,5-8 years,Master's Degree,"Agile, Sprint Planning, Stakeholder Management, Coaching",Seeking an experienced Senior Scrum Master for innovative projects.,2025-11-08,Generated
Senior Risk Analyst,Shell Morocco,Tetouan,24500 MAD/month,Full-time,8+ years,Master's Degree,"Compliance, Financial Analysis, Reporting, Excel, Audit, Risk Management",Exciting opportunity for a Senior Risk Analyst in Tetouan.,2025-12-04,Generated
Risk Analyst,EY Morocco,Tangier,21200 MAD/month,Contract,2-4 years,Bachelor's Degree,"Financial Analysis, Reporting, Data Analysis, Excel, Audit, Risk Management",Exciting opportunity for a Risk Analyst in Tangier.,2025-12-08,Generated
Lead Database Administrator,KPMG Morocco,Tetouan,10000 MAD/month,Part-time,5-8 years,Master's Degree,"MySQL, Oracle, PostgreSQL, Backup & Recovery",Join our dynamic team as a Lead Database Administrator.,2025-12-07,Generated
System Administrator,Capgemini Morocco,Rabat,14000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"PowerShell, VMware, Active Directory, Linux",Join our dynamic team as a System Administrator.,2025-11-03,Generated
Lead Data Engineer,Fujikura Morocco,Casablanca,23800 MAD/month,Full-time,8+ years,Master's Degree,"Git, PostgreSQL, Hadoop, ETL",Great opportunity for career growth as a Lead Data Engineer.,2025-11-15,Generated
DevOps Engineer,Unilever Morocco,Beni Mellal,17300 MAD/month,Part-time,2-4 years,Bachelor's Degree,"Kubernetes, Docker, Terraform, Jenkins, Ansible, Linux",Join our dynamic team as a DevOps Engineer.,2025-11-16,Generated
Junior Systems Analyst,BNP Paribas Morocco,Agadir,8400 MAD/month,Full-time,0-2 years,Bachelor's Degree,"Requirements Analysis, SQL, Business Process Analysis, Systems Design",Great opportunity for career growth as a Junior Systems Analyst.,2025-11-16,Generated
Test Engineer,Capgemini Morocco,Marrakech,23300 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Performance Testing, Selenium, Test Automation, Test Cases",We are looking for a talented Test Engineer to join our growing team.,2025-11-18,Generated
Principal Mechanical Engineer,Shell Morocco,Casablanca,39500 MAD/month,Part-time,5-8 years,Master's Degree,"Project Management, CAD, Manufacturing, Mechanical Design",Join our dynamic team as a Principal Mechanical Engineer.,2025-12-11,Generated
Principal Data Analyst,Amendis,Khouribga,19900 MAD/month,Full-time,10+ years,Bachelor's Degree,"Excel, Business Intelligence, Tableau, R, Pandas",Seeking an experienced Principal Data Analyst for innovative projects.,2025-12-18,Generated
Electronics Technician,Somaca,Rabat,9200 MAD/month,Full-time,1-3 years,Diploma,"Embedded Systems, Testing, Multimeter, Electronics, Troubleshooting",Join our dynamic team as a Electronics Technician.,2025-11-16,Generated
Mechanical Engineer,GE Aviation Morocco,Safi,22100 MAD/month,Full-time,2-5 years,Bachelor's Degree,"SolidWorks, AutoCAD, Manufacturing, Thermodynamics",Great opportunity for career growth as a Mechanical Engineer.,2025-12-10,Generated
Junior Project Manager,Coca-Cola Morocco,Rabat,5000 MAD/month,Internship,0-2 years,Master's Degree,"Leadership, Scrum, Stakeholder Management, Communication",Exciting opportunity for a Junior Project Manager in Rabat.,2025-11-11,Generated
Business Analyst,Somaca,Safi,5900 MAD/month,Internship,3-5 years,Bachelor's Degree,"Power BI, Stakeholder Management, UML, SQL, Agile, Requirements Analysis",We are looking for a talented Business Analyst to join our growing team.,2025-11-02,Generated
IT Support Specialist,Amendis,Rabat,9100 MAD/month,Part-time,2-4 years,Master's Degree,"Ticketing Systems, Customer Service, Windows, Documentation, Active Directory",We are looking for a talented IT Support Specialist to join our growing team.,2025-12-21,Generated
Product Manager,Coca-Cola Morocco,Khouribga,21900 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Communication, Prioritization, Stakeholder Management, User Research, Roadmap Planning, Analytics",Join our dynamic team as a Product Manager.,2025-12-20,Generated
Staff HR Manager,Inwi,El Jadida,19700 MAD/month,Contract,10+ years,Master's Degree,"Training & Development, Performance Management, Employee Relations, Compensation & Benefits, Recruitment, HR Management",Join our dynamic team as a Staff HR Manager.,2025-11-03,Generated
Principal HR Manager,Shell Morocco,Beni Mellal,27000 MAD/month,Full-time,8+ years,Master's Degree,"Conflict Resolution, Leadership, Communication, Recruitment",We are looking for a talented Principal HR Manager to join our growing team.,2025-12-10,Generated
Backend Developer,Boeing Morocco,Agadir,18000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"REST API, Python, Node.js, Docker",Great opportunity for career growth as a Backend Developer.,2025-11-15,Generated
Senior Project Manager,ONEE,Khouribga,39700 MAD/month,Full-time,5-8 years,Master's Degree,"Project Management, Budgeting, MS Project, Agile, Leadership",Seeking an experienced Senior Project Manager for innovative projects.,2025-11-17,Generated
IT Support Specialist,PSA Morocco,Safi,11900 MAD/month,Full-time,3-5 years,Master's Degree,"Windows, Troubleshooting, Active Directory, Documentation, Ticketing Systems, Customer Service",Join our dynamic team as a IT Support Specialist.,2025-11-25,Generated
QA Engineer,Yazaki Morocco,Fes,15800 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Regression Testing, Testing, Selenium, Test Planning, Test Automation, JIRA",Great opportunity for career growth as a QA Engineer.,2025-11-08,Generated
Cloud Engineer,ONCF,Tangier,32600 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Terraform, GCP, Docker, Networking, Python, Cloud Security",Join our dynamic team as a Cloud Engineer.,2025-12-08,Generated
Lead HR Manager,ONEE,Mohammedia,12600 MAD/month,Part-time,8+ years,Bachelor's Degree,"Labor Law, Performance Management, HR Management, Employee Relations, Training & Development, Conflict Resolution",Great opportunity for career growth as a Lead HR Manager.,2025-10-31,Generated
Staff Sales Engineer,SMIT,Kenitra,16800 MAD/month,Contract,8+ years,Bachelor's Degree,"Technical Sales, Presentations, Negotiation, Communication",Seeking an experienced Staff Sales Engineer for innovative projects.,2025-11-13,Generated
Maintenance Technician,Cosumar,Marrakech,11500 MAD/month,Full-time,2-5 years,Diploma,"Technical Documentation, Hydraulics, Equipment Repair, Preventive Maintenance, Troubleshooting",Seeking an experienced Maintenance Technician for innovative projects.,2025-12-15,Generated
Lead Quality Engineer,GE Aviation Morocco,Fes,24800 MAD/month,Contract,5-8 years,Bachelor's Degree,"Process Improvement, Quality Management, Documentation, Auditing, Statistical Analysis",Great opportunity for career growth as a Lead Quality Engineer.,2025-11-30,Generated
Principal Aerospace Engineer,Atos Morocco,Kenitra,61800 MAD/month,Full-time,8+ years,Bachelor's Degree,"Systems Engineering, Structural Analysis, Aerodynamics, SolidWorks",Great opportunity for career growth as a Principal Aerospace Engineer.,2025-10-31,Generated
Help Desk Analyst,Continental Morocco,Oujda,10000 MAD/month,Full-time,3-5 years,Master's Degree,"Active Directory, Troubleshooting, Ticketing Systems, Customer Service, Technical Support, Help Desk",Seeking an experienced Help Desk Analyst for innovative projects.,2025-12-11,Generated
Product Designer,EY Morocco,Tangier,17100 MAD/month,Contract,2-4 years,Bachelor's Degree,"Figma, User Research, UX Design, Product Design, Design Systems, Usability Testing",Great opportunity for career growth as a Product Designer.,2025-11-02,Generated
Lead Help Desk Analyst,Accenture Morocco,Casablanca,11900 MAD/month,Internship,5+ years,Master's Degree,"Remote Support, Active Directory, Ticketing Systems, Customer Service",Great opportunity for career growth as a Lead Help Desk Analyst.,2025-11-07,Generated
Account Manager,Stellantis Morocco,Fes,21800 MAD/month,Full-time,5+ years,Bachelor's Degree,"Communication, Problem Solving, Upselling, Client Relations, Account Management, Strategic Planning",Join our dynamic team as a Account Manager.,2025-11-06,Generated
System Administrator,HP Morocco,Khouribga,18700 MAD/month,Full-time,3-5 years,Master's Degree,"VMware, Networking, PowerShell, Monitoring, Linux, Bash",Join our dynamic team as a System Administrator.,2025-11-05,Generated
Industrial Engineer,Capgemini Morocco,Tetouan,19400 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Project Management, Quality Control, AutoCAD, Process Optimization",Great opportunity for career growth as a Industrial Engineer.,2025-12-18,Generated
Staff Frontend Developer,Lesieur Cristal,Kenitra,67800 MAD/month,Contract,10+ years,Master's Degree,"Angular, CSS, JavaScript, Vue.js",Exciting opportunity for a Staff Frontend Developer in Kenitra.,2025-12-28,Generated
Lab Technician,Atlanta Assurances,El Jadida,3200 MAD/month,Internship,1-3 years,Diploma,"Technical Documentation, Safety Procedures, Laboratory Techniques, Testing, Equipment Calibration, Sample Preparation",Join our dynamic team as a Lab Technician.,2025-12-10,Generated
Risk Analyst,Eaton Aerospace,Mohammedia,12100 MAD/month,Full-time,2-4 years,Master's Degree,"SQL, Statistics, Risk Management, Compliance, Reporting",Great opportunity for career growth as a Risk Analyst.,2025-12-25,Generated
Senior Cloud Engineer,Lydec,Meknes,43400 MAD/month,Full-time,8+ years,Master's Degree,"AWS, Azure, Docker, Kubernetes, GCP, Networking",Seeking an experienced Senior Cloud Engineer for innovative projects.,2025-12-10,Generated
